Pattern Name,Category,Trend Start,Trend Finish
Head and shoulders,reversal,bullish,bearish
Inverse head and shoulders,reversal,bearish,bullish
Double top,reversal,bullish,bearish
Double bottom,reversal,bearish,bullish
Rounding bottom,continuation/reversal,n/a,n/a
Cup and handle,continuation,bullish,bullish
Wedge - Rising,continuation,neutral,bearish
Wedge - Falling,continuation,neutral,bullish
Pennant bull,bilateral,n/a,bullish
Pennant bear,bilateral,n/a,bearish
Flag bull,continuation,bullish,bullish
Flag bear,continuation,bearish,bearish
Ascending triangle,continuation,bullish,bullish
Descending triangle,continuation,bearish,bearish
Symmetrical triangle,continuation,n/a,n/a
Symmetrical triangle (no prior trend),bilateral,n/a,n/a
Gap - bull,bilateral,n/a,bullish
Gap - bear,bilateral,n/a,bearish
